"Environment" "Phenotype" "pine_correlation" "spruce_correlation" "pine_slope_bayenv" "pine_score2_bayenv" "pine_score1_bayenv" "spruce_slope_bayenv" "spruce_score2_bayenv" "spruce_score1_bayenv"
"33" "bFFP" "RootShoot_Ratio" -0.15 -0.07 0.0719559256843999 0.5198 2.77288639949617e-05 0.159526387958754 0.5417 6.98516742153056e-05
"359" "TD" "BudSet_day" -0.14 -0.09 0.1680455294804 0.5313 7.22665347489348e-05 0.1542803707795 0.5369 7.16938702373939e-05
"348" "SHM" "FinalStemDiamS02_mm" 0.14 0.09 0.144609977224679 0.5402 5.54468389141208e-05 0.166202349283616 0.542 7.35585478251382e-05
"340" "PAS" "TotalWeight" -0.14 0.26 NA NA NA NA NA NA
"336" "PAS" "HtFinalS02_mm" -0.14 0.05 0.107260769710704 0.5257 4.2731119062571e-05 -0.193818608849389 0.4474 -9.03500890299803e-05
"285" "MCMT" "HtFinalS02_mm" 0.14 0.22 0.0594234328664828 0.5153 2.36721514329428e-05 0.138906700718397 0.5344 6.47525505085329e-05
"284" "MCMT" "HtFinalS01_mm" 0.14 0.18 0.203834679461569 0.5417 7.89501251991584e-05 0.132289773608574 0.5316 5.70081327273606e-05
"201" "Latitude" "LinearGthS02_Days" -0.14 -0.42 0.0993968379955848 0.5198 3.55567476587884e-05 0.270125428323607 0.5596 0.00010830089080973
"188" "Latitude" "BudBreakS02_day" 0.14 -0.2 0.189618242433077 0.5338 7.23931847688785e-05 0.128625753651664 0.5271 5.65964573519014e-05
"151" "Eref" "MaxGthRate_mm_Day" -0.14 -0.22 -0.0846170854097915 0.4771 -3.36184349788917e-05 0.0842270017749222 0.5225 3.632046564044e-05
"147" "Eref" "Gth95pctS02_Day" 0.14 0.45 0.110837723816033 0.5314 4.26844672282112e-05 0.464151210604013 0.6343 0.000211945212098974
"119" "Elevation" "TotalWeight" -0.14 0.07 NA NA NA NA NA NA
"105" "Elevation" "ColdInjuryFallS02_Mean" 0.14 0.5 0.194152930101857 0.5465 8.20208263547499e-05 0.212680689093487 0.5673 0.000113166125387474
"100" "eFFP" "MaxGthRate_mm_Day" -0.14 -0.13 -0.0687842888259936 0.481 -2.73281497657552e-05 0.00455230405208452 0.5027 1.96332605235618e-06
"83" "DD5" "MaxGthRate_mm_Day" -0.14 -0.36 -0.166815294472237 0.4534 -6.62768721212025e-05 -0.0398402682696239 0.4887 -1.71793345654634e-05
"51" "CMD" "TotalWeight" 0.14 0.2 NA NA NA NA NA NA
"24" "bFFP" "FinalShootWeightS02_g" -0.14 -0.12 0.150564496547057 0.5396 5.89030460620201e-05 0.232969897654691 0.5661 0.000105904100753569
"347" "SHM" "FinalShootWeightS02_g" 0.13 0.17 0.171764635444436 0.5471 6.71954120424306e-05 0.296680157482383 0.5842 0.000134865083947876
"296" "MWMT" "FinalShootWeightS02_g" 0.13 0.14 0.226884466582345 0.5633 8.87595489938579e-05 0.268746920674776 0.5768 0.000122166502763339
"263" "MAT" "FinalStemDiamS02_mm" 0.13 0.33 0.0580493555154904 0.5174 2.22573125055983e-05 0.256897535900141 0.5699 0.00011369718243455
"222" "log(MSP)" "BudBreakS02_day" 0.13 0.17 0.186251372320252 0.5473 7.11072363037013e-05 0.0817579309717968 0.522 3.59725434003705e-05
"186" "FFP" "RootShoot_Ratio" 0.13 0.17 0.00600018494146526 0.5034 2.31187615572191e-06 0.2220112387284 0.561 9.7211447193053e-05
"174" "FFP" "ColdInjuryMidWinterS02_Mean" 0.13 -0.18 0.18251148475179 0.5488 8.00838328587554e-05 0.0046283823760863 0.5012 2.42792202588824e-06
"131" "EMT" "HtFinalS01_mm" 0.13 0.23 0.203987601299554 0.5436 7.90093800924516e-05 0.232042608421634 0.559 9.99951789489207e-05
"45" "CMD" "Gth95pctS02_Day" 0.13 0.29 0.0871187532575594 0.5245 3.35457531145088e-05 0.337315099158052 0.5938 0.000154026895147019
"37" "CMD" "ColdInjuryFallS02_Mean" 0.13 -0.04 0.136344528559392 0.5283 5.76005131497648e-05 -0.0546830832527034 0.4897 -2.90970484617534e-05
"7" "AHM" "FinalShootWeightS02_g" 0.13 0.15 0.203723265486606 0.5541 7.969791485976e-05 0.28974993920812 0.5764 0.000131716340572409
"2" "AHM" "BudSet_day" 0.13 0.16 0.0916397461982417 0.5215 3.94149942607501e-05 0.232185612256432 0.5593 0.000107894038664488
